neighborhood_code;neighborhood_names;total_destruction
BU16800000;Annen;9.0
BU16800009;Verspreide huizen Annen;0.0
BU16800100;Eext;0.0
BU16800109;Verspreide huizen Eext;1.0
BU16800200;Anloo;1.0
BU16800209;Verspreide huizen Anloo;1.0
BU16800300;Gasteren;1.0
BU16800309;Verspreide huizen Gasteren;
BU16800400;Anderen;
BU16800409;Verspreide huizen Anderen;1.0
BU16800500;Schipborg;0.0
BU16800509;Verspreide huizen Schipborg;0.0
BU16800600;Eexterveen;0.0
BU16800609;Verspreide huizen Eexterveen;
BU16800700;Spijkerboor;0.0
BU16800800;Nieuw-Annerveen;0.0
BU16800809;Verspreide huizen Nieuw-Annerveen;
BU16800900;Oud-Annerveen;0.0
BU16800909;Verspreide huizen Oud-Annerveen;
BU16801100;Annerveenschekanaal;0.0
BU16801109;Verspreide huizen Annerveenschekanaal;
BU16801200;Eexterveenschekanaal;2.0
BU16801209;Verspreide huizen Eexterveenschekanaal;0.0
BU16801300;Eexterzandvoort;0.0
BU16801309;Verspreide huizen Eexterzandvoort;
BU16801400;Gasselte;1.0
BU16801401;Kostvlies;2.0
BU16801409;Verspreide huizen Gasselte;6.0
BU16801500;Gasselternijveen;6.0
BU16801501;Gasselterboerveen;0.0
BU16801600;Gasselternijveenschemond;1.0
BU16801601;Gasselterboerveenschemond;
BU16801609;Verspr.h. Gasselternijveenschemond;0.0
BU16801700;Gieten;18.0
BU16801709;Verspreide huizen Gieten;2.0
BU16801800;Gieterveen;2.0
BU16801801;Bonnerveen;0.0
BU16801802;Nieuwediep;0.0
BU16801809;Verspreide huizen Gieterveen;1.0
BU16801900;Rolde;8.0
BU16801901;Ballo;1.0
BU16801902;Nijlande;0.0
BU16801903;Deurze;0.0
BU16801908;Verspreide huizen Nooitgedacht;5.0
BU16801909;Verspreide huizen Rolde;2.0
BU16802000;Grolloo;0.0
BU16802001;Schoonloo;0.0
BU16802008;Verspreide huizen Papenvoort;0.0
BU16802009;Verspreide huizen Grolloo;1.0
BU16802100;Ekehaar;1.0
BU16802101;Amen;0.0
BU16802109;Verspreide huizen Ekehaar;
BU07380000;Wijk en Aalburg;17.0
BU07380001;Spijk;1.0
BU07380009;Verspreide huizen Wijk en Aalburg;0.0
BU07380100;Veen;11.0
BU07380109;Verspreide huizen Veen;0.0
BU07380200;Genderen;0.0
BU07380209;Verspreide huizen Genderen;0.0
BU07380300;Eethen;1.0
BU07380309;Verspreide huizen Eethen;1.0
BU07380400;Meeuwen;0.0
BU07380409;Verspreide huizen Meeuwen;1.0
BU07380500;Drongelen;0.0
BU07380509;Verspreide huizen Drongelen;0.0
BU07380600;Babyloniënbroek;2.0
BU07380609;Verspreide huizen Babyloniënbroek;0.0
BU03580000;Centrum;14.0
BU03580001;Stommeer;33.0
BU03580004;Hornmeer;21.0
BU03580005;Uiterweg;2.0
BU03580100;Kudelstaart;20.0
BU03580200;Bovenlanden;4.0
BU03580201;Greenpark;9.0
BU03580205;Oosteinde;26.0
BU03580206;Schinkelpolder;2.0
BU01970101;Barlo-Kern;2.0
BU01970102;Verspreide huizen Barlo;1.0
BU01970103;Verspreide huizen Heurne;2.0
BU01970104;Verspreide huizen IJzerlo;0.0
BU01970105;IJzerlo-kern;0.0
BU01970106;Lintelo-kern;0.0
BU01970107;Verspreide huizen ten westen van Aalten;0.0
BU01970108;Verspreide huizen Lintelo;0.0
BU01970109;Verspreide huizen Dalese Veld;0.0
BU01970110;Verspreide huizen Dale;5.0
BU01970111;Verspreide huizen Haart;0.0
BU01970112;Haart-kern;0.0
BU01970201;Verspreide huizen Bredevoort;2.0
BU01970202;Verspreide huizen Hollenberg;
BU01970203;Verspreide huizen Het Zwanenbroek;1.0
BU01970204;Bredevoort;3.0
BU01970301;Aalten-kern West;4.0
BU01970302;Aalten-kern Zuid 1;3.0
BU01970303;Aalten-kern Zuid 2;2.0
